,distance,26Al,60Fe
0,1.0,2.318937838271599e-12,6.496152044591783e-12
1,1.1097141176463292,3.1690015829413677e-12,8.877478448910714e-12
2,1.231465422903571,4.330677153663529e-12,1.213174011044796e-11
3,1.3665745651894,5.918193573665251e-12,1.6578933960949405e-11
4,1.516507087807071,8.087653357287273e-12,2.2656360398555376e-11
5,1.682889324850228,1.1052382291770109e-11,3.096162425368912e-11
6,1.8675260422225974,1.5103906075688643e-11,4.231139915587661e-11
7,2.072420014126591,2.0640616488217203e-11,5.782173399590409e-11
8,2.2997937473690833,2.8206945895256707e-11,7.901779865892674e-11
9,2.5521135891302267,3.854690221444259e-11,1.0798386137513054e-10
10,2.8321164796948564,5.267722857354383e-11,1.4756824668410724e-10
11,3.1428396403362053,7.198738166916695e-11,2.016634303729101e-10
12,3.4876535183795982,9.837616003646528e-11,2.7558881783054265e-10
13,3.8702983468047316,1.344384174197555e-10,3.766138522307363e-10
14,4.29492471495246,1.8372022161361088e-10,5.146729027798183e-10
15,4.766138590410881,2.5106754989270835e-10,7.033422496864344e-10
16,5.2890512804379295,3.431028104264428e-10,9.611752690261125e-10
17,5.869334874857365,4.688760495563354e-10,1.3135271668492733e-09
18,6.513283771823168,6.407548839036298e-10,1.7950487901528515e-09
19,7.227882953828904,8.756406737712175e-10,2.4530949013016896e-09
20,8.020883754559184,1.196630539720303e-09,3.3523823369389284e-09
21,8.90088793843442,1.6352886741203557e-09,4.581356567204081e-09
22,9.877441004868608,2.234750328373092e-09,6.2608934834988814e-09
23,10.961135729321438,3.0539637617671972e-09,8.556193413106603e-09
24,12.163727064265592,4.173487380926453e-09,1.169303917045688e-08
25,13.498259646412265,5.703412299773505e-09,1.598002061748801e-08
26,14.979209293279437,7.794189675008828e-09,2.183891749446231e-08
27,16.622640023931293,1.0651428020828207e-08,2.984623886286299e-08
28,18.44637830710947,1.4556116447423102e-08,4.0790021897173585e-08
29,20.470206426844374,1.989226392473503e-08,5.5747505608706736e-08
30,22.71607706300382,2.718467494191723e-08,7.619136857686634e-08
31,25.2083514143573,3.7150580411134054e-08,1.0413506357442563e-07
32,27.974063447102104,5.077020801952113e-08,1.4233168548128396e-07
33,31.043213135183343,6.938324354080792e-08,1.945461723347573e-07
34,34.449091873216915,9.482068887048732e-08,2.6592801781436686e-07
35,38.22864359180424,1.2958511722710542e-07,3.6352183905241907e-07
36,42.42286549229504,1.770971086066984e-07,4.969671745944278e-07
37,47.077252747811094,2.420317442750612e-07,6.794545878148235e-07
38,52.24229199425044,3.307545219050979e-07,9.288393069283174e-07
39,57.97400896422151,4.519075586955887e-07,1.2690908340758601e-06
40,64.33457620415145,6.17238597597671e-07,1.7325126496680987e-06
41,71.39298746654045,8.427208015271293e-07,2.362683969096747e-06
42,79.22580609256737,1.1500224314911463e-06,3.2180088315227768e-06
43,87.91799550283257,1.5685514748550036e-06,4.376906968845436e-06
44,97.56384080465978,2.1381705706586705e-06,5.944329205703101e-06
45,108.26797151272994,2.912790844650562e-06,8.059824496332443e-06
46,120.14649647660701,3.965460679173701e-06,1.091021444620203e-05
47,133.32826332583574,5.394497408739856e-06,1.4740467972134225e-05
48,147.95625609394725,7.33302911437245e-06,1.987823701937993e-05
49,164.18914618154898,9.959741690116913e-06,2.675153243053575e-05
50,182.20301348196176,1.3515405322453964e-05,3.592367568403596e-05
51,202.1932563386374,1.832264743281262e-05,4.81312666489406e-05
52,224.37671105186908,2.48137804979027e-05,6.432655163119525e-05
53,248.99400392531024,3.356694552213823e-05,8.57508201309173e-05
54,276.31216136520254,4.5352039645407897e-05,0.00011399611595639047
55,306.62750634433587,6.11927264187687e-05,0.00015109999021194084
56,340.26887264899887,8.244973422119404e-05,0.0001996707874526192
57,377.60117177419494,0.00011091561805606494,0.00026298889059465783
58,419.0293511576207,0.00014895745807097508,0.0003452170107782224
59,465.0027866877929,0.00019967831525127252,0.00045154144907384383
60,516.0201571323282,0.00026714059106969023,0.000588424353704118
61,572.6348533598218,0.0003566266595194654,0.0007638889781856859
62,635.4609810297297,0.00047498638602816126,0.0009878176701431287
63,705.1800218620772,0.0006310512045582332,0.001272365449467616
64,782.5482257424941,0.0008361549389725462,0.001632415250342158
65,868.4048138455322,0.001104759158392953,0.002086225981327301
66,963.6810817564195,0.001455208551184964,0.0026561250633897306
67,1069.410501333785,0.0019106605522485414,0.0033695208804337927
68,1186.7399308893398,0.0025001645119659332,0.004260147461156367
69,1316.9420552825295,0.0032599423187223784,0.005369671501307485
70,1461.4291908691953,0.004234933446929231,0.00674974794111649
71,1621.7686050479979,0.005480646694798208,0.008465051104052743
72,1799.699516577357,0.007065276675751235,0.010596473920752168
73,1997.151961067167,0.009072399371596901,0.013246361900781673
74,2216.267726281287,0.011604099780738331,0.016544257680609704
75,2459.423584338277,0.014785032376670358,0.020655567546046492
76,2729.2570728125233,0.018767602775133865,0.02579300798852653
77,3028.6951043861523,0.02373785064285861,0.032230956903280435
78,3360.985715383636,0.02992376090370935,0.04032642929668573
79,3729.733297568868,0.037605288265487986,0.05054845086883332
80,4138.93769536777,0.04712658245913966,0.06351548034752263
81,4593.037592608176,0.05891167356653285,0.08005254812167736
82,5096.958659397602,0.0734815724118828,0.10126264862647777
83,5656.166981393226,0.09147323075714905,0.1286232895215193
84,6276.728351017085,0.11365643821688569,0.1641009102503539
85,6965.3740637546225,0.14093654479914372,0.2102417752927676
86,7729.573933236087,0.17432812658041433,0.2701209927787173
87,8577.617317103151,0.21478227271058736,0.34646017935999074
88,9518.703032556996,0.26247988799350574,0.4365475702828674
89,10563.039136911435,0.3164333904091515,0.5309968544076328
90,11721.953655481304,0.37565630396532385,0.6234061925873668
91,13008.01745788361,0.4390106671092413,0.7090132518096031
92,14435.180615603342,0.5051081133014693,0.7843690041524307
93,16018.923719909673,0.5723210737140686,0.8473591760558745
94,17776.425801483398,0.6388496882580371,0.8972644615494456
95,19726.750673198607,0.7028271773387585,0.9345903207770944
96,21891.0537173377,0.7624606089589488,0.960840448115796
97,24292.811360283824,0.8161869276972169,0.9780971798667194
98,26958.07572382606,0.8628225503870809,0.9886380893841452
99,29915.75721530859,0.9016826676595693,0.9945749353434834
